,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
0,Douglas,Male,1993-08-06,12:42 PM,97308,6.945,True,Marketing
1,Thomas,Male,1996-03-31,6:53 AM,61933,4.17,True,
2,Maria,Female,1993-04-23,11:17 AM,130590,11.858,False,Finance
3,Jerry,Male,2005-03-04,1:00 PM,138705,9.34,True,Finance
4,Larry,Male,1998-01-24,4:47 PM,101004,1.389,True,Client Services
5,Dennis,Male,1987-04-18,1:35 AM,115163,10.125,False,Legal
6,Ruby,Female,1987-08-17,4:20 PM,65476,10.012,True,Product
7,,Female,2015-07-20,10:43 AM,45906,11.598,True,Finance
8,Angela,Female,2005-11-22,6:29 AM,95570,18.523,True,Engineering
9,Frances,Female,2002-08-08,6:51 AM,139852,7.524,True,Business Development
10,Louise,Female,1980-08-12,9:01 AM,63241,15.132,True,
11,Julie,Female,1997-10-26,3:19 PM,102508,12.637,True,Legal
12,Brandon,Male,1980-12-01,1:08 AM,112807,17.492,True,Human Resources
13,Gary,Male,2008-01-27,11:40 PM,109831,5.831,False,Sales
14,Kimberly,Female,1999-01-14,7:13 AM,41426,14.543,True,Finance
15,Lillian,Female,2016-06-05,6:09 AM,59414,1.256,False,Product
16,Jeremy,Male,2010-09-21,5:56 AM,90370,7.369,False,Human Resources
17,Shawn,Male,1986-12-07,7:45 PM,111737,6.414,False,Product
18,Diana,Female,1981-10-23,10:27 AM,132940,19.082,False,Client Services
19,Donna,Female,2010-07-22,3:48 AM,81014,1.894,False,Product
20,Lois,no gender,1995-04-22,7:18 PM,64714,4.934,True,Legal
21,Matthew,Male,1995-09-05,2:12 AM,100612,13.645,False,Marketing
22,Joshua,no gender,2012-03-08,1:58 AM,90816,18.816,True,Client Services
23,,Male,2012-06-14,4:19 PM,125792,5.042,True,
24,John,Male,1992-07-01,10:08 PM,97950,13.873,False,Client Services
25,,Male,2012-10-08,1:12 AM,37076,18.576,True,Client Services
26,Craig,Male,2000-02-27,7:45 AM,37598,7.757,True,Marketing
27,Scott,no gender,1991-07-11,6:58 PM,122367,5.218,False,Legal
28,Terry,Male,1981-11-27,6:30 PM,124008,13.464,True,Client Services
29,Benjamin,Male,2005-01-26,10:06 PM,79529,7.008,True,Legal
30,Christina,Female,2002-08-06,1:19 PM,118780,9.096,True,Engineering
31,Joyce,no gender,2005-02-20,2:40 PM,88657,12.752,False,Product
32,,Male,1998-08-21,2:27 PM,122340,6.417,True,
33,Jean,Female,1993-12-18,9:07 AM,119082,16.18,False,Business Development
34,Jerry,Male,2004-01-10,12:56 PM,95734,19.096,False,Client Services
